Keyes ID,Module Name,Board,,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,,,,Example Code
KY-002,Vibration switch module,B,,DS,V,G,,,,,,,,,KY-009 3-color full-color LED SMD modules
KY-004,Key switch module,B,,DS,V,G,,,,,,,,,KY-010 Optical broken module
KY-005,Infrared emission sensor module,B,,DS,V,G,,,,,,,,,KY-011 2-color LED module
KY-008,Laser sensor module,B,,DS,V,G,,,,,,,,,KY-012 Active buzzer module
KY-013,Temperature sensor module,B,,DS,V,G,,,,,,,,,KY-013 Temperature sensor module
KY-015,Temperature and humidity sensor module,B,,DS,V,G,,,,,,,,,KY-015 Temperature and humidity sensor module
KY-019,5V relay module,B,,DS,V,G,,,,,,,,,KY-016 3-color LED module
KY-020,Tilt switch module,B,,DS,V,G,,,,,,,,,KY-017 Mercury open optical module
KY-025,Reed module,B,,DS,V,G,,,,,,,,,KY-018 Photo resistor module
KY-034,Automatic flashing colorful LED module,B,,DS,V,G,,,,,,,,,KY-019 5V relay module
KY-039,Detect the heartbeat module,B,,DS,V,G,,,,,,,,,KY-020 Tilt switch module
KY-031,Knock Sensor module,B,,DS ,V,G,,,,,,,,,KY-021 Mini magnetic reed modules
,Servo,B,,DS,V,G,,,,,,,,,KY-022 Infrared sensor receiver module
KY-035,Class Bihor magnetic sensor,C,,G,V,AS,,,,,,,,,KY-035 Class Bihor magnetic sensor
KY-011,2-color LED module,D,,G,V,DS,,,,,,,,,KY-024 Linear magnetic Hall sensors
KY-017,Mercury open optical module,D,,G,V,DS,,,,,,,,,KY-026 Flame sensor module
KY-022,Infrared sensor receiver module,D,,G,V,DS,,,,,,,,,
KY-028,Temperature sensor module,D,,G,V,DS,,,,,,,,,KY-029 Yin Yi 2-color LED module 3MM
KY-029,Yin Yi 2-color LED module 3MM,D,,G,V,DS,,,,,,,,,KY-031 Knock Sensor module
KY-001,Temperature sensor module,D,,G,V,DS,,,,,,,,,KY-032 Obstacle avoidance sensor module
KY-003,Hall magnetic sensor module,D,,G,V,DS,,,,,,,,,KY-033 Hunt sensor module
KY-006,Small passive buzzer module,D,,G,V,DS,,,,,,,,,KY-034 Automatic flashing colorful LED module
KY-010,Optical broken module,D,,G,V,DS,,,,,,,,,KY-027 Magic light cup module
KY-012,Active buzzer module,R,,V,DS,G,,,,,,,,,KY-028 Temperature sensor module
KY-033,Hunt sensor module,D,,G,V,DS,,,,,,,,,KY-038 Microphone sound sensor module
,Water Sensor,D,,G,V,DS,,,,,,,,,KY-039 Detect the heartbeat module
,Touch Sensor,D,,G,V ,DS,,,,,,,,,KY-040 Rotary encoder module
KY-038,Microphone sound sensor module,J,,AS,G,V,D0,,Analog,,,,,,KY-023 XY-axis joystick module
,Big Button,E,,G,DS,V,,,,,,,,,
,3 pin Sound Module,E,,G,DS ,V,,,,,,,,,
,PIR Motion Sensor,E,,G,DS,V,,,,,,,,,
KY-018,Photo resistor module,F,,AS,V ,G,,,Analog,,,,,,KY-005 Infrared emission sensor module
,MQ2 Module,G,,V,G,DS,AS,,,,,,,,
,MQ7 Module,G,,V,G,DS,AS,,,,,,,,
KY-009,3-color full-color LED SMD modules,H,,b,g,r,G,,,,,,,,KY-006 Small passive buzzer module
KY-016,3-color LED module,H,,b,g,r,G,,,,,,,,KY-025 Reed module
KY-021,Mini magnetic reed modules,I,,DS,G,V,,,,,,,,,KY-008 Laser sensor module
KY-024,Linear magnetic Hall sensors,J,,AS,G,V,D0,,Not analog,,,,,,KY-001 Temperature sensor module
KY-026,Flame sensor module,J,,AS,G,V,D0,,Analog,,,,,,KY-002 Vibration switch module
KY-036,Metal touch sensor module,J,,AS,G,V,D0,,Not analog,,,,,,KY-003 Hall magnetic sensor module
KY-037,Sensitive microphone sensor module,J,,AS,G,V,D0,,Not analog,,,,,,KY-004 Key switch module
,,,,,,,,,,,,,,,
Specialized boards,,,,,,,,,,,,,,,
,RFID,,,,,,,,,,,,,,
,MPU 6050,,,,,,,,,,,,,,
,Ultrasonic Distance Sensor,,,,,,,,,,,,,,
,Sharp IR Distance Sensor,F,,AS,G,V,,,,,,,,,
KY-040,Rotary encoder module,K,,G,V,SW,DT,,,,,,,,
KY-023,XY-axis joystick module,,,G,V,VRX,VRY,CLK,,NA - Need another Analog port,,,,,
,Alchohol Sensor,,,V,DS,AS,G,SW,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Name,Pins,,,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,,,,
Board A,8,,,7,6,5,4,3,2,1,A,X,,,
Board B,3,,,DS,V,G,,,,,,X,,,
Board C,3,,,G,V,AS,,,,,,X,,,
Board D,3,,,G,V,DS,,,,,,X,,,
Board E,3,,,G,DS,V,,,,,,X,,,
Board F,3,,,AS,V,G,,,,,,X,,,
Board G,4,,,V,G,DS,AS,,,,,X,,,
Board H,4,,,B,G,R,G,,,,,X,,,
Board I,3,,,DS,G,V,,,,,,X,,,
Board J,4,,,AS,G,V,D0,,,,,X,,,
Board K,4,I2C,,G,V,SDA,SCL,,,,,X,,,
Board L,,,,AS,G,V,,,,,,X,,,
Board M,,RFID,,,,,,,,,,,,,
Board N,,MPU,,,,,,,,,,,,,
Board O,,Knob,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Board P,,Rotary Encoder,,,,,,,,,,,,,
Board Q,,Ultrasonic,,,,,,,,,,,,,
Board R,3,,,V,DS,G,,,,,,,,,
Board S,,Relay,,,,,,,,,,,,,
